#{"t_start": 1637674807.0757542, "env_id": null}
r,l,t,total_asset,last_account,action_summary
0.136939,249,0.292365,101369.38684406062,"{'Cash': 14270.16779306061, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 949.0}","{'WMT': {'buy': 78, 'sell': 74, 'no-action': 97}, 'AAPL': {'buy': 68, 'sell': 68, 'no-action': 113}, 'MMM': {'buy': 70, 'sell': 72, 'no-action': 107}}"
-0.241702,249,0.61639,97582.98472101131,"{'Cash': 61911.6860510533, 'WMT': 0.0, 'AAPL': 490.0, 'MMM': 0.0}","{'WMT': {'buy': 67, 'sell': 73, 'no-action': 109}, 'AAPL': {'buy': 70, 'sell': 76, 'no-action': 103}, 'MMM': {'buy': 57, 'sell': 77, 'no-action': 115}}"
-0.513695,249,0.92224,94863.04711549041,"{'Cash': 22.97790049041214, 'WMT': 143.0, 'AAPL': 0.0, 'MMM': 928.0}","{'WMT': {'buy': 66, 'sell': 72, 'no-action': 111}, 'AAPL': {'buy': 75, 'sell': 68, 'no-action': 106}, 'MMM': {'buy': 70, 'sell': 66, 'no-action': 113}}"
0.304518,249,1.186138,103045.17536853954,"{'Cash': 39.50427029574348, 'WMT': 997.0, 'AAPL': 489.0, 'MMM': 0.0}","{'WMT': {'buy': 82, 'sell': 76, 'no-action': 91}, 'AAPL': {'buy': 73, 'sell': 73, 'no-action': 103}, 'MMM': {'buy': 78, 'sell': 80, 'no-action': 91}}"
0.503155,249,1.462198,105031.55214604753,"{'Cash': 62.1915600475113, 'WMT': 996.0, 'AAPL': 0.0, 'MMM': 410.0}","{'WMT': {'buy': 71, 'sell': 73, 'no-action': 105}, 'AAPL': {'buy': 70, 'sell': 70, 'no-action': 109}, 'MMM': {'buy': 64, 'sell': 67, 'no-action': 118}}"
0.759633,249,1.757661,107596.33139106318,"{'Cash': 49.71181860198158, 'WMT': 206.0, 'AAPL': 1286.0, 'MMM': 0.0}","{'WMT': {'buy': 69, 'sell': 67, 'no-action': 113}, 'AAPL': {'buy': 79, 'sell': 70, 'no-action': 100}, 'MMM': {'buy': 77, 'sell': 82, 'no-action': 90}}"
0.493187,249,2.038651,104931.87300449566,"{'Cash': 55646.01354149566, 'WMT': 0.0, 'AAPL': 0.0, 'MMM': 537.0}","{'WMT': {'buy': 67, 'sell': 77, 'no-action': 105}, 'AAPL': {'buy': 71, 'sell': 74, 'no-action': 104}, 'MMM': {'buy': 78, 'sell': 72, 'no-action': 99}}"
-0.436902,249,2.329931,95630.98207048475,"{'Cash': 24.1712834847458, 'WMT': 1053.0, 'AAPL': 0.0, 'MMM': 266.0}","{'WMT': {'buy': 71, 'sell': 75, 'no-action': 103}, 'AAPL': {'buy': 75, 'sell': 70, 'no-action': 104}, 'MMM': {'buy': 61, 'sell': 62, 'no-action': 126}}"
-0.955869,249,3.640379,90441.30660839028,"{'Cash': 54.72121577386952, 'WMT': 0.0, 'AAPL': 1142.0, 'MMM': 79.0}","{'WMT': {'buy': 59, 'sell': 77, 'no-action': 113}, 'AAPL': {'buy': 66, 'sell': 66, 'no-action': 117}, 'MMM': {'buy': 62, 'sell': 65, 'no-action': 122}}"
-0.714007,249,3.984159,92859.92861580903,"{'Cash': 68.23899484862523, 'WMT': 875.0, 'AAPL': 462.0, 'MMM': 0.0}","{'WMT': {'buy': 73, 'sell': 71, 'no-action': 105}, 'AAPL': {'buy': 70, 'sell': 70, 'no-action': 109}, 'MMM': {'buy': 70, 'sell': 68, 'no-action': 111}}"
