#{"t_start": 1637497800.00389, "env_id": null}
r,l,t,total_asset,last_account,action_summary
-1.863372,687,2.508291,81366.27721300002,"{'Cash': 5134.135975000031, 'WMT': 1219.0, 'ABBV': 19.0, 'MMM': 0.0}","{'WMT': {'buy': 258, 'sell': 216, 'no-action': 213}, 'ABBV': {'buy': 185, 'sell': 191, 'no-action': 311}, 'MMM': {'buy': 107, 'sell': 95, 'no-action': 485}}"
-1.779579,687,6.995796,82204.20876099999,"{'Cash': 16.467427000001408, 'WMT': 1334.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 3, 'sell': 0, 'no-action': 684}, 'ABBV': {'buy': 1, 'sell': 2, 'no-action': 684}, 'MMM': {'buy': 0, 'sell': 0, 'no-action': 687}}"
-1.930792,687,11.628745,80692.078168,"{'Cash': 44.586859000005234, 'WMT': 1309.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 10, 'sell': 0, 'no-action': 677}, 'ABBV': {'buy': 12, 'sell': 13, 'no-action': 662}, 'MMM': {'buy': 1, 'sell': 1, 'no-action': 685}}"
-2.071989,687,16.557918,79280.10666199999,"{'Cash': 49.64537600000204, 'WMT': 1286.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 4, 'sell': 0, 'no-action': 683}, 'ABBV': {'buy': 11, 'sell': 9, 'no-action': 667}, 'MMM': {'buy': 1, 'sell': 2, 'no-action': 684}}"
3.760934,687,20.948512,137609.34253199998,"{'Cash': 42.04021799998736, 'WMT': 0.0, 'ABBV': 2314.0, 'MMM': 0.0}","{'WMT': {'buy': 0, 'sell': 0, 'no-action': 687}, 'ABBV': {'buy': 4, 'sell': 0, 'no-action': 683}, 'MMM': {'buy': 1, 'sell': 2, 'no-action': 684}}"
3.971191,687,25.608994,139711.91303599998,"{'Cash': 4.410686000002897, 'WMT': 0.0, 'ABBV': 2350.0, 'MMM': 0.0}","{'WMT': {'buy': 0, 'sell': 0, 'no-action': 687}, 'ABBV': {'buy': 4, 'sell': 0, 'no-action': 683}, 'MMM': {'buy': 2, 'sell': 1, 'no-action': 684}}"
3.901558,687,30.429809,139015.581703,"{'Cash': 21.479364999991958, 'WMT': 0.0, 'ABBV': 2338.0, 'MMM': 0.0}","{'WMT': {'buy': 1, 'sell': 1, 'no-action': 685}, 'ABBV': {'buy': 4, 'sell': 0, 'no-action': 683}, 'MMM': {'buy': 3, 'sell': 2, 'no-action': 682}}"
4.805359,687,35.000661,148053.59352300005,"{'Cash': 23.091033000031075, 'WMT': 0.0, 'ABBV': 2490.0, 'MMM': 0.0}","{'WMT': {'buy': 0, 'sell': 0, 'no-action': 687}, 'ABBV': {'buy': 17, 'sell': 13, 'no-action': 657}, 'MMM': {'buy': 7, 'sell': 6, 'no-action': 674}}"
5.304506,687,39.540658,153045.05757199996,"{'Cash': 20.754997999945772, 'WMT': 0.0, 'ABBV': 2574.0, 'MMM': 0.0}","{'WMT': {'buy': 25, 'sell': 30, 'no-action': 632}, 'ABBV': {'buy': 251, 'sell': 252, 'no-action': 184}, 'MMM': {'buy': 49, 'sell': 64, 'no-action': 574}}"
6.512748,687,43.968092,165127.4823310001,"{'Cash': 34.82955400007995, 'WMT': 0.0, 'ABBV': 2777.0, 'MMM': 0.0}","{'WMT': {'buy': 47, 'sell': 44, 'no-action': 596}, 'ABBV': {'buy': 140, 'sell': 138, 'no-action': 409}, 'MMM': {'buy': 37, 'sell': 39, 'no-action': 611}}"
6.853147,687,48.43627,168531.46687800004,"{'Cash': 50.16404400004103, 'WMT': 0.0, 'ABBV': 2834.0, 'MMM': 0.0}","{'WMT': {'buy': 26, 'sell': 21, 'no-action': 640}, 'ABBV': {'buy': 38, 'sell': 27, 'no-action': 622}, 'MMM': {'buy': 27, 'sell': 21, 'no-action': 639}}"
