#{"t_start": 1637409429.2878196, "env_id": null}
r,l,t,total_reward,total_asset,last_account,action_summary
3.357419,757,0.545288,3.3574190621000057,133574.19062100005,"{'Cash': 33004.07074900004, 'WMT': 632.0, 'ABBV': 0.0, 'MMM': 348.0}","{'WMT': {'buy': 305, 'sell': 302, 'no-action': 150}, 'ABBV': {'buy': 227, 'sell': 235, 'no-action': 295}, 'MMM': {'buy': 333, 'sell': 294, 'no-action': 130}}"
2.806904,757,5.51107,2.8069039846999946,128069.03984699998,"{'Cash': 67287.53984699998, 'WMT': 0, 'ABBV': 1039.0, 'MMM': 0}","{'WMT': {'buy': 0, 'sell': 0, 'no-action': 757}, 'ABBV': {'buy': 135, 'sell': 151, 'no-action': 471}, 'MMM': {'buy': 0, 'sell': 0, 'no-action': 757}}"
-1.3515,757,10.429482,-1.3514996913000012,86485.00308699999,"{'Cash': 10.800520999985565, 'WMT': 1283.0, 'ABBV': 0.0, 'MMM': 0}","{'WMT': {'buy': 62, 'sell': 68, 'no-action': 627}, 'ABBV': {'buy': 41, 'sell': 39, 'no-action': 677}, 'MMM': {'buy': 0, 'sell': 0, 'no-action': 757}}"
-3.289124,757,15.263866,-3.289123852000014,67108.76147999984,"{'Cash': 45.75948999983666, 'WMT': 995.0, 'ABBV': 0.0, 'MMM': 0.0}","{'WMT': {'buy': 178, 'sell': 168, 'no-action': 411}, 'ABBV': {'buy': 155, 'sell': 155, 'no-action': 447}, 'MMM': {'buy': 0, 'sell': 0, 'no-action': 757}}"
2.10817,757,20.089792,2.1081700532000145,121081.70053200015,"{'Cash': 60417.20053200015, 'WMT': 0.0, 'ABBV': 1037.0, 'MMM': 0}","{'WMT': {'buy': 244, 'sell': 253, 'no-action': 260}, 'ABBV': {'buy': 246, 'sell': 250, 'no-action': 261}, 'MMM': {'buy': 0, 'sell': 0, 'no-action': 757}}"
-0.60028,757,24.898665,-0.6002804165000211,93997.19583499979,"{'Cash': 280.19583499978035, 'WMT': 0.0, 'ABBV': 1602.0, 'MMM': 0.0}","{'WMT': {'buy': 294, 'sell': 315, 'no-action': 148}, 'ABBV': {'buy': 365, 'sell': 311, 'no-action': 81}, 'MMM': {'buy': 224, 'sell': 236, 'no-action': 297}}"
1.879022,757,29.782147,1.8790223506999983,118790.22350699994,"{'Cash': 5475.723506999944, 'WMT': 0.0, 'ABBV': 1937.0, 'MMM': 0.0}","{'WMT': {'buy': 218, 'sell': 224, 'no-action': 315}, 'ABBV': {'buy': 345, 'sell': 298, 'no-action': 114}, 'MMM': {'buy': 32, 'sell': 35, 'no-action': 690}}"
1.169481,757,34.703701,1.16948124700001,111694.81247000009,"{'Cash': 18.31247000008443, 'WMT': 0.0, 'ABBV': 1909.0, 'MMM': 0.0}","{'WMT': {'buy': 61, 'sell': 60, 'no-action': 636}, 'ABBV': {'buy': 179, 'sell': 166, 'no-action': 412}, 'MMM': {'buy': 23, 'sell': 19, 'no-action': 715}}"
1.388326,757,39.768854,1.3883263745000118,113883.26374500002,"{'Cash': 42.26374500001657, 'WMT': 0.0, 'ABBV': 1946.0, 'MMM': 0.0}","{'WMT': {'buy': 31, 'sell': 33, 'no-action': 693}, 'ABBV': {'buy': 104, 'sell': 93, 'no-action': 560}, 'MMM': {'buy': 21, 'sell': 13, 'no-action': 723}}"
2.282372,757,44.661854,2.282372093599995,122823.72093599995,"{'Cash': 32.220935999954236, 'WMT': 0.0, 'ABBV': 2099.0, 'MMM': 0.0}","{'WMT': {'buy': 60, 'sell': 54, 'no-action': 643}, 'ABBV': {'buy': 146, 'sell': 141, 'no-action': 470}, 'MMM': {'buy': 20, 'sell': 14, 'no-action': 723}}"
1.802748,757,49.500891,1.802748295900005,118027.48295900006,"{'Cash': 95084.18282500005, 'WMT': 67.0, 'ABBV': 315.0, 'MMM': 0.0}","{'WMT': {'buy': 100, 'sell': 84, 'no-action': 573}, 'ABBV': {'buy': 179, 'sell': 174, 'no-action': 404}, 'MMM': {'buy': 45, 'sell': 31, 'no-action': 681}}"
1.822626,757,54.443099,1.8226259328000094,118226.2593280001,"{'Cash': 50775.75932800011, 'WMT': 0.0, 'ABBV': 1153.0, 'MMM': 0.0}","{'WMT': {'buy': 63, 'sell': 53, 'no-action': 641}, 'ABBV': {'buy': 237, 'sell': 231, 'no-action': 289}, 'MMM': {'buy': 38, 'sell': 31, 'no-action': 688}}"
4.110537,757,59.360942,4.110537150900002,141105.37150900002,"{'Cash': 99518.371379, 'WMT': 65.0, 'ABBV': 636.0, 'MMM': 0.0}","{'WMT': {'buy': 116, 'sell': 109, 'no-action': 532}, 'ABBV': {'buy': 249, 'sell': 218, 'no-action': 290}, 'MMM': {'buy': 45, 'sell': 44, 'no-action': 668}}"
3.721065,757,64.260068,3.7210646102000076,137210.64610200003,"{'Cash': 128143.14610200003, 'WMT': 0.0, 'ABBV': 155.0, 'MMM': 0.0}","{'WMT': {'buy': 90, 'sell': 81, 'no-action': 586}, 'ABBV': {'buy': 247, 'sell': 204, 'no-action': 306}, 'MMM': {'buy': 83, 'sell': 71, 'no-action': 603}}"
3.272564,757,69.159563,3.2725641260000016,132725.64126,"{'Cash': 86218.14126, 'WMT': 0.0, 'ABBV': 795.0, 'MMM': 0.0}","{'WMT': {'buy': 111, 'sell': 107, 'no-action': 539}, 'ABBV': {'buy': 282, 'sell': 248, 'no-action': 227}, 'MMM': {'buy': 42, 'sell': 42, 'no-action': 673}}"
4.099844,757,74.098305,4.099843795899989,140998.43795899986,"{'Cash': 91741.43795899986, 'WMT': 0.0, 'ABBV': 842.0, 'MMM': 0.0}","{'WMT': {'buy': 114, 'sell': 104, 'no-action': 539}, 'ABBV': {'buy': 303, 'sell': 267, 'no-action': 187}, 'MMM': {'buy': 42, 'sell': 35, 'no-action': 680}}"
3.612979,757,79.043959,3.612979303400007,136129.79303400006,"{'Cash': 131508.29303400006, 'WMT': 0.0, 'ABBV': 79.0, 'MMM': 0.0}","{'WMT': {'buy': 109, 'sell': 90, 'no-action': 558}, 'ABBV': {'buy': 280, 'sell': 238, 'no-action': 239}, 'MMM': {'buy': 89, 'sell': 79, 'no-action': 589}}"
